q_id,layer,baseline_layer,super_layer,acc_base_baseline,acc_base_super,diff_acc_base,acc_with_baseline,acc_with_super,diff_acc_with,delta_acc_baseline,delta_acc_super,diff_delta_acc,mean_delta_logprob_baseline,mean_delta_logprob_super,diff_mean_delta_logprob,mean_delta_p_baseline,mean_delta_p_super,diff_mean_delta_p,mean_delta_logit_baseline,mean_delta_logit_super,diff_mean_delta_logit
Q8,16,16,16,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,2.5133612632751463,1.1636484146118165,-1.3497128486633299,0.038369632897592966,0.011533412444623536,-0.02683622045296943,3.31484375,1.8265625,-1.48828125
Q8,17,17,17,0.0,0.0,0.0,0.1,0.0,-0.1,0.1,0.0,-0.1,1.6743672370910645,1.0131254196166992,-0.6612418174743653,0.015228579800532317,0.00772514144955494,-0.007503438350977377,2.4875,1.530859375,-0.9566406249999999
Q8,18,18,18,0.0,0.0,0.0,0.1,0.0,-0.1,0.1,0.0,-0.1,1.5105838775634766,1.104372787475586,-0.4062110900878906,0.01415450317763316,0.007336977956947521,-0.0068175252206856395,2.2734375,1.591015625,-0.682421875
Q8,19,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2026256561279296,0.8753046989440918,-0.3273209571838378,0.008051212106511229,0.004674830770818516,-0.0033763813356927127,1.8609375,1.2625,-0.5984375
Q8,20,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0460083961486817,0.7641626358032226,-0.28184576034545905,0.005387462359431083,0.001880299541153363,-0.00350716281827772,1.759765625,1.171875,-0.587890625
Q8,21,21,21,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.7569880485534668,0.4753377914428711,-0.2816502571105957,0.0043242831230600135,0.0020099793022382074,-0.002314303820821806,1.291796875,0.86171875,-0.430078125
Q8,22,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6064149856567382,0.5172072410583496,-0.08920774459838865,0.0033270384978095536,0.001515384439335321,-0.0018116540584742326,1.05546875,0.996875,-0.05859375
Q8,23,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5167882919311524,0.37460012435913087,-0.14218816757202152,0.0027920860371523303,0.000965720925523783,-0.0018263651116285473,0.96875,0.901953125,-0.06679687499999998
Q8,24,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46727809906005857,0.3399199485778809,-0.1273581504821777,0.0022564257227713825,0.000462151445208292,-0.0017942742775630906,0.95,0.932421875,-0.017578125
Q8,25,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4096070289611816,0.34976892471313475,-0.059838104248046864,0.0019958969380240886,0.0005084505593913491,-0.0014874463786327394,0.87109375,0.828125,-0.04296875
Q8,26,26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3807697296142578,0.34075164794921875,-0.04001808166503906,0.0022743673625882366,0.0011967104539508,-0.0010776569086374365,0.863671875,0.950390625,0.08671875000000007
Q8,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2915750503540039,0.24766197204589843,-0.04391307830810545,0.0016718669246984063,0.0006398369232556433,-0.001032030001442763,0.755078125,0.5578125,-0.197265625
Q8,28,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26682167053222655,0.23411731719970702,-0.03270435333251953,0.001646363224608649,0.002243795801769011,0.0005974325771603618,0.719921875,0.558203125,-0.16171875000000002
Q8,29,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22128877639770508,-0.03972845077514649,-0.2610172271728516,0.0012369676542220986,0.004860201738847536,0.003623234084625437,0.417578125,0.536328125,0.11875000000000002
Q8,30,30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1624279022216797,-0.9453537940979004,-1.1077816963195801,0.0010611230236463598,0.00039906049823912326,-0.0006620625254072365,0.341796875,0.146875,-0.194921875
Q8,31,31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02958545684814453,-1.1466614723205566,-1.1762469291687012,0.000275759274882148,-0.0018896585820584733,-0.002165417856940621,-0.02109375,-0.280078125,-0.258984375
Q9,0,0,0,0.0,0.0,0.0,0.2,0.1,-0.1,0.2,0.1,-0.1,0.7128439903259277,0.6049773216247558,-0.1078666687011719,0.020319186941560475,0.01305021713633323,-0.007268969805227244,0.226953125,-0.115234375,-0.3421875
Q9,1,1,1,0.0,0.0,0.0,0.2,0.1,-0.1,0.2,0.1,-0.1,1.4048378944396973,1.1455427169799806,-0.25929517745971675,0.029030994611093774,0.016373715830559375,-0.012657278780534399,1.048828125,0.85234375,-0.19648437500000004
Q9,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9303561210632325,-0.37036762237548826,2.559988498687744,-0.006256966071248371,-0.00041625201629358344,0.005840714054954788,-1.00859375,0.395703125,1.404296875
Q9,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.377570056915283,-0.37854366302490233,2.999026393890381,-0.006329531699032031,-2.1821318659931423e-05,0.0063077103803720995,-0.464453125,0.51640625,0.980859375
