q_id,layer,acc_base,acc_with,delta_acc,mean_delta_logprob,mean_delta_p
Q10,12,0.0,0.0,0.0,-4.71540412902832,-0.0003045770987220031
Q10,13,0.0,0.0,0.0,-4.714287567138672,-0.0003045676135786657
Q10,14,0.0,0.0,0.0,-4.715295791625977,-0.0003045766985177778
Q10,15,0.0,0.0,0.0,-4.71393985748291,-0.00030455507452904486
Q10,16,0.0,0.0,0.0,-4.714415168762207,-0.0003045768402933469
Q10,17,0.0,0.0,0.0,-4.713551616668701,-0.0003045665865542446
Q10,18,0.0,0.0,0.0,-4.713575935363769,-0.0003045723975904302
Q10,19,0.0,0.0,0.0,-4.712538337707519,-0.00030457067969864583
Q10,20,0.0,0.0,0.0,-4.712907505035401,-0.00030458230090903984
Q10,21,0.0,0.0,0.0,-4.710227108001709,-0.0003046146047772424
Q10,22,0.0,0.0,0.0,-4.709845447540284,-0.000304630468217848
Q10,23,0.0,0.0,0.0,-4.70854082107544,-0.0003046359021426248
Q10,24,0.0,0.0,0.0,-4.705125904083252,-0.00030459806234377494
Q10,25,0.0,0.0,0.0,-4.705619049072266,-0.0003046560713822366
Q10,26,0.0,0.0,0.0,-4.702606868743897,-0.0003046459453820205
Q10,27,0.0,0.0,0.0,-4.701697444915771,-0.00030463762802082075
Q10,28,0.0,0.0,0.0,-4.698892116546631,-0.00030460681461903506
Q10,29,0.0,0.0,0.0,-4.695077991485595,-0.0003045570388556129
Q10,30,0.0,0.0,0.0,-4.693041229248047,-0.00030454074730110745
Q10,31,0.0,0.0,0.0,-4.63360595703125,-0.0003039216173604586
Q11,0,0.0,0.1,0.1,-0.18029136657714845,-0.006735110809313482
Q11,1,0.0,0.1,0.1,-0.165543270111084,-0.0065767054187745085
Q11,2,0.0,0.1,0.1,0.44252328872680663,-0.000934382446212112
Q11,3,0.0,0.2,0.2,1.3468628883361817,0.00122929803947045
Q11,4,0.0,0.3,0.3,1.552782917022705,0.009874216764364974
Q11,5,0.0,0.2,0.2,1.7657693862915038,0.021689970448278473
